postId, cluster
5085,0
3913,3
3711,2
3693,0
3589,2
4802,3
4561,1
4968,2
4336,2
4424,2
4332,2
5021,2
4220,1
5186,2
4215,0
4200,1
4165,3
4163,0
5895,0
5793,2
4013,1
5806,2
3940,2
5433,0
4974,3
3649,0
7126,2
8199,0
8200,1
6151,0
3762,1
50,2
5881,2
4522,1
7130,3
6420,2
5797,2
8441,2
8456,3
8457,1
2093,0
8547,3
8545,3
6061,3
3791,2
7184,2
8699,2
8700,0
6521,2
8701,0
3585,3
6460,2
6781,1
5194,2
5845,2
8859,3
4457,2
8854,2
8860,0
8919,2
8917,0
8918,2
9091,1
9092,3
8717,1
9097,3
9578,3
9582,1
9584,0
9580,1
9626,3
9625,1
9751,0
9769,0
9770,3
9771,3
9850,0
9851,3
9918,2
9916,1
10022,2
10073,2
10019,3
10020,3
10021,2
10026,3
10023,3
10074,3
10177,1
10201,3
10589,2
10249,2
10250,3
10301,2
10257,3
10303,3
10308,3
10457,0
10459,0
10455,0
10537,2
10540,0
10543,1
10546,2
10565,3
10564,3
10570,2
10568,1
10573,0
10586,3
10535,0
10858,1
10860,3
11387,3
11385,0
11389,1
11399,3
11406,1
11429,0
11618,3
11624,0
11621,3
11630,2
11628,2
11698,0
11700,0
11853,1
11580,0
13188,1
11855,3
11859,0
11857,3
11861,2
11863,3
12062,0
12060,0
12129,1
12134,0
11695,2
12216,0
12218,3
12220,1
12222,1
12224,0
12127,0
12312,0
12318,3
12316,0
12214,3
12311,2
12593,0
12594,1
12605,0
12597,1
12601,0
12603,1
12673,3
12665,2
12667,2
12669,2
12671,2
12675,3
12910,0
12740,0
12908,3
12912,1
12947,0
13002,1
12986,0
12984,2
13004,1
13010,1
12951,1
12943,2
12949,1
13103,0
13104,3
13102,2
13183,1
13187,1
13300,0
13290,1
13302,3
13294,0
13185,0
13296,2
13292,1
13298,2
13354,0
13390,0
13388,0
13506,0
13392,0
13394,0
13498,0
13568,0
13500,2
13564,0
13566,2
13507,3
13572,0
13570,0
13701,2
13703,2
13705,0
13574,3
13722,1
13736,0
13724,3
13726,0
13731,2
13729,0
14028,3
14193,3
14026,3
14194,3
14208,3
14031,2
14192,3
14033,0
14294,3
14391,3
14392,3
14393,3
14293,3
14394,3
14708,1
14292,2
14707,3
14709,2
14706,0
14710,3
14712,3
15055,3
14807,1
