postId, cluster
5085,1
3913,3
3711,3
3693,0
3589,2
4802,1
4561,1
4968,2
4336,1
4424,2
4332,2
5021,2
4220,1
5186,3
4215,2
4200,2
4165,0
4163,0
5895,0
5793,2
4013,2
5806,2
3940,2
5433,0
4974,3
3649,0
7126,2
8199,0
8200,2
6151,1
3762,2
50,2
5881,3
4522,2
7130,0
6420,2
5797,1
8441,1
8456,1
8457,2
2093,0
8547,3
8545,3
6061,3
3791,2
7184,2
8699,1
8700,0
6521,2
8701,0
3585,3
6460,1
6781,1
5194,2
5845,2
8859,3
4457,2
8854,2
8860,0
8919,2
8917,1
8918,2
9091,1
9092,3
8717,2
9097,3
9578,1
9582,2
9584,0
9580,1
9626,3
9625,1
9751,0
9769,0
9770,3
9771,3
9850,1
9851,3
9918,2
9916,2
10022,2
10073,2
10019,3
10020,0
10021,1
10026,3
10023,3
10074,0
10177,2
10201,3
10589,2
10249,3
10250,0
10301,2
10257,3
10303,3
10308,1
10457,1
10459,1
10455,2
10537,2
10540,1
10543,0
10546,3
10565,1
10564,3
10570,1
10568,2
10573,1
10586,0
10535,0
10858,2
10860,3
11387,0
11385,2
11389,2
11399,3
11406,2
11429,1
11618,1
11624,1
11621,1
11630,2
11628,2
11698,0
11700,0
11853,2
11580,0
13188,2
11855,1
11859,1
11857,0
11861,2
11863,3
12062,0
12060,1
12129,2
12134,0
11695,2
12216,1
12218,1
12220,2
12222,2
12224,1
12127,0
12312,0
12318,3
12316,0
12214,3
12311,2
12593,1
12594,1
12605,2
12597,2
12601,1
12603,2
12673,3
12665,2
12667,2
12669,2
12671,2
12675,3
12910,0
12740,1
12908,3
12912,1
12947,1
13002,2
12986,2
12984,1
13004,2
13010,2
12951,2
12943,2
12949,2
13103,2
13104,1
13102,2
13183,2
13187,1
13300,0
13290,2
13302,3
13294,2
13185,0
13296,2
13292,2
13298,2
13354,0
13390,0
13388,2
13506,0
13392,0
13394,0
13498,2
13568,0
13500,2
13564,1
13566,1
13507,1
13572,0
13570,0
13701,2
13703,2
13705,1
13574,0
13722,2
13736,1
13724,3
13726,0
13731,1
13729,0
14028,0
14193,0
14026,3
14194,3
14208,0
14031,1
14192,3
14033,1
14294,3
14391,1
14392,3
14393,3
14293,3
14394,3
14708,1
14292,1
14707,3
14709,1
14706,0
14710,0
14712,3
15055,3
14807,1
