postId, cluster
5085,2
3913,0
3711,0
3693,2
3589,2
4802,2
4561,1
4968,2
4336,2
4424,2
4332,2
5021,2
4220,1
5186,0
4215,2
4200,2
4165,0
4163,2
5895,2
5793,2
4013,2
5806,2
3940,2
5433,2
4974,0
3649,1
7126,2
8199,2
8200,1
6151,2
3762,1
50,2
5881,0
4522,1
7130,0
6420,2
5797,2
8441,2
8456,0
8457,1
2093,2
8547,0
8545,0
6061,0
3791,2
7184,2
8699,2
8700,2
6521,2
8701,2
3585,0
6460,2
6781,1
5194,2
5845,2
8859,0
4457,1
8854,2
8860,2
8919,2
8917,2
8918,2
9091,1
9092,2
8717,1
9097,0
9578,0
9582,1
9584,2
9580,1
9626,0
9625,1
9751,2
9769,2
9770,0
9771,0
9850,2
9851,0
9918,2
9916,1
10022,2
10073,1
10019,0
10020,0
10021,2
10026,0
10023,0
10074,0
10177,1
10201,0
10589,2
10249,2
10250,0
10301,2
10257,0
10303,0
10308,0
10457,2
10459,2
10455,2
10537,2
10540,2
10543,1
10546,2
10565,0
10564,0
10570,2
10568,1
10573,2
10586,0
10535,2
10858,1
10860,0
11387,2
11385,2
11389,1
11399,0
11406,1
11429,2
11618,2
11624,2
11621,0
11630,2
11628,2
11698,0
11700,2
11853,2
11580,2
13188,1
11855,0
11859,2
11857,0
11861,2
11863,0
12062,2
12060,2
12129,1
12134,2
11695,2
12216,0
12218,0
12220,1
12222,1
12224,2
12127,2
12312,0
12318,0
12316,2
12214,0
12311,2
12593,2
12594,1
12605,2
12597,1
12601,2
12603,1
12673,0
12665,2
12667,2
12669,2
12671,2
12675,0
12910,2
12740,2
12908,0
12912,1
12947,1
13002,1
12986,2
12984,2
13004,1
13010,1
12951,1
12943,2
12949,2
13103,2
13104,0
13102,2
13183,2
13187,1
13300,2
13290,1
13302,0
13294,2
13185,2
13296,2
13292,1
13298,1
13354,2
13390,2
13388,2
13506,2
13392,2
13394,0
13498,2
13568,2
13500,2
13564,2
13566,2
13507,0
13572,2
13570,2
13701,2
13703,2
13705,2
13574,0
13722,1
13736,2
13724,0
13726,2
13731,2
13729,2
14028,0
14193,0
14026,0
14194,0
14208,0
14031,2
14192,0
14033,2
14294,0
14391,0
14392,0
14393,0
14293,0
14394,0
14708,1
14292,2
14707,2
14709,2
14706,0
14710,0
14712,0
15055,0
14807,1
