postID,cluster
13354,1
13388,1
13390,4
13392,1
13394,2
13498,2
13500,2
13506,4
13507,3
13564,3
13566,1
13568,3
13570,2
13572,1
13574,3
13701,4
13703,2
13705,3
13722,0
13724,3
13726,0
13729,2
13731,3
13736,1
14026,3
14028,4
14031,3
14033,2
14192,0
14193,3
14194,1
14208,1
14292,2
14293,3
14294,3
14391,1
14392,4
14393,3
14394,4
14706,3
14707,2
14708,4
14709,1
14710,2
14712,1
14807,0
15055,1
2093,3
3585,4
3589,1
3649,3
3693,1
3711,3
3762,0
3791,0
3913,3
3940,1
4013,2
4163,4
4165,1
4200,4
4215,0
4220,1
4332,0
4336,4
4424,2
4457,1
4522,4
4561,4
4802,2
4968,2
4974,4
5021,3
5085,1
50,2
5186,1
5194,1
5433,1
5793,4
5797,4
5806,1
5845,2
5881,2
5895,0
6061,0
6151,1
6420,4
6460,2
6521,2
6781,1
7126,2
7130,0
7184,2
8199,4
10019,2
10020,2
10021,2
10022,2
10023,3
10026,0
10073,2
10074,3
10177,2
10201,1
10249,4
10250,3
10257,3
10301,1
8200,2
8441,2
8456,4
8457,2
8545,3
8547,3
8699,1
8700,1
8701,1
8717,3
8854,1
8859,1
8860,1
8917,3
8918,3
8919,4
9091,0
9092,4
9097,4
9578,1
9580,2
9582,4
9584,0
9625,1
9626,3
9751,3
9769,3
9770,0
9771,3
9850,1
9851,3
9916,2
9918,4
10303,2
10308,4
10455,4
10457,0
10459,2
10535,0
10537,2
10540,4
10543,2
10546,1
10564,3
10565,2
10568,2
10570,1
10573,1
10586,1
10589,0
10858,4
10860,2
11385,1
11387,2
11389,3
11399,3
11406,0
11429,3
11580,2
11618,3
11621,1
11624,4
11628,1
11630,0
11695,4
11698,0
11700,0
11853,4
11855,0
11857,3
11859,4
11861,0
11863,1
12060,0
12062,0
12127,3
12129,0
12134,4
12214,1
12216,1
12218,3
12220,3
12222,3
12224,2
12311,3
12312,0
12316,4
12318,3
12593,0
12594,2
12597,2
12601,2
12603,2
12605,3
12665,4
12667,3
12669,3
12671,3
12673,1
12675,3
12740,0
12908,3
12910,0
12912,4
12943,3
12947,2
12949,3
12951,1
12984,1
12986,4
13002,1
13004,4
13010,2
13102,2
13103,1
13104,3
13183,3
13185,0
13187,0
13188,1
13290,3
13292,3
13294,2
13296,2
13298,0
13300,3
13302,1
